id	author	title	translator	year	publisher	pub_place
1201	Epping, Ed;;Jabès, Edmond	Desire for a beginning : dread of one single end	Waldrop, Rosmarie	2001	Granary Books	New York
1202	La Fontaine, Jean de	Once again, La Fontaine : sixty more fables (illustrations by  David Schorr)	Shapiro, Norman R.	2000	Wesleyan University Press	Middletown, CT
1203	Ardalan, Haydé	Milton goes to the vet	NA	2001	Chronicle Books	San Francisco, CALIF
1204	Bronsard, Marie	The hermitage	Alland, Sonia	2001	Northwestern University Press	Evanston, ILL
1205	Saint-Exupéry, Antoine de	Regulus, vel, Pueri soli sapiunt	Haury, Auguste	2001	Harcourt	San Diego, CALIF
1206	Winckler, Martin	The case of Dr. Sachs	Asher, Linda	2000	Seven Stories Press	New York
1207	Molière	Don Juan : comedy in five acts, 1665	Wilbur, Richard	2001	Harcourt	San Diego, CALIF
1208	Nothomb, Amélie	Fear and trembling	Hunter, Adriana	2001	St. Martin's Press	New York
1209	Huston, Nancy	Slow emergencies	NA	2000	Steerforth Press	South Royalton, VT
1210	Taravant, Jacques	The little wing giver	Ignatowicz, Nina	2001	Henry Holt	New York
1211	Gutman, Anne	Lisa in New York	NA	2002	Alfred A. Knopf	New York
1212	Gutman, Anne	Gaspard at the beach	NA	2002	Alfred A. Knopf	New York
1213	Heilbronn, Charles	The sun, the moon, and the gardener's son	NA	2001	Abrams	New York
1214	Gutman, Anne;;et al.	Gaspard and Lisa at the museum	NA	2001	Alfred A. Knopf	New York
1215	Gutman, Anne;;Hallensleben, Georg	Gaspard in the hospital	NA	2001	Alfred A. Knopf	New York
1216	Kourouma, Ahmadou	Waiting for the vote of the wild animals	Coates, Carrol F.	2001	University Press of Virginia	Charlottesville, VA
1217	Godon, Ingrid	Nelly & Caesar, touch, taste, and other senses	NA	2001	Barron's Educational Series	Hauppauge, N.Y.
1218	Gutman, Anne	Lisa's airplane trip	NA	2001	Alfred A. Knopf	New York
1219	Montaigne, Michel de;;Leschemelle, Pierre	Montaigne entire and entirely naked : an anthology of the essays	Beck, William J.	2001	Vantage Press	New York
1220	Rimbaud, Arthur	Rimbaud : the works : A season in hell, poems and prose, Illuminations	Carlile, Dennis J.	2000	Xlibris	Philadelphia, PA
1221	Crozon, Alain	What am I? Christmas	NA	1999	Chronicle Books	San Francisco, CALIF
1222	Crozon, Alain	What am I? Halloween!	NA	1999	Chronicle Books	San Francisco, CALIF
1223	Césaire, Aimé;;Eshleman, Clayton;;Smith, Annette	Notebook of a return to the native land	NA	2001	Wesleyan University Press	Middletown, CT
1224	La Rochefoucauld, François de	Maxims	Douard, Stéphane;;Warner, Stuart D.	2001	St. Augustine's Press	South Bend, IND
1225	Simon, Claude	The jardin des plantes	Stump, Jordan	2001	Northwestern University Press	Evanston, ILL
1226	Morgenstern, Susie	Three days off	Rosner, Gill	2001	Viking	New York
1227	Huston, Nancy	Dolce agonia : a novel	NA	2001	Steerforth Press	South Royalton, VT
1228	Clavel, Bernard	Castle of books	NA	2002	Chronicle Books	San Francisco, CALIF
1229	Got, Yves	Sam loves kisses	NA	2002	Chronicle Books	San Francisco, CALIF
1230	Got, Yves	Sam's little sister	NA	2002	Chronicle Books	San Francisco, CALIF
1231	Rousseau, Jean-Jacques	Letter to Beaumont, letters written from the mountain, and related writings	Bush, Judith R.;;Kelly, Christopher	2001	Dartmouth College	Hanover, N.H.
1232	Stendhal	The life of Henry Brulard	Sturrock, John	2002	New York Review Books	New York
